Year	Month	treering	D13C
1952	July	-9999	-9999
1952	Aug	-9999	-9999
1952	Sep	-9999	-9999
1952	Oct	-9999	-9999
1952	Nov	-9999	-9999
1952	Dec	-9999	-9999
1953	Jan	-9999	-9999
1953	Feb	-9999	-9999
1953	March	-9999	-9999
1953	April	-9999	-9999
1953	May	-9999	-9999
1953	June	-9999	-9999
1953	July	-9999	-9999
1953	Aug	-9999	-9999
1953	Sep	-9999	-9999
1953	Oct	-9999	-9999
1953	Nov	-9999	-9999
1953	Dec	-9999	-9999
1954	Jan	-9999	-9999
1954	Feb	-9999	-9999
1954	March	-9999	-9999
1954	April	-9999	-9999
1954	May	-9999	-9999
1954	June	-9999	-9999
1954	July	-9999	-9999
1954	Aug	-9999	-9999
1954	Sep	-9999	-9999
1954	Oct	-9999	-9999
1954	Nov	-9999	-9999
1954	Dec	-9999	-9999
1955	Jan	-9999	-9999
1955	Feb	-9999	-9999
1955	March	-9999	-9999
1955	April	-9999	-9999
1955	May	-9999	-9999
1955	June	-9999	-9999
1955	July	-9999	-9999
1955	Aug	-9999	-9999
1955	Sep	-9999	-9999
1955	Oct	-9999	-9999
1955	Nov	-9999	-9999
1955	Dec	-9999	-9999
1956	Jan	-9999	-9999
1956	Feb	-9999	-9999
1956	March	-9999	-9999
1956	April	-9999	-9999
1956	May	-9999	-9999
1956	June	-9999	-9999
1956	July	-9999	-9999
1956	Aug	-9999	-9999
1956	Sep	-9999	-9999
1956	Oct	-9999	-9999
1956	Nov	-9999	-9999
1956	Dec	-9999	-9999
1957	Jan	-9999	-9999
1957	Feb	-9999	-9999
1957	March	-9999	-9999
1957	April	-9999	-9999
1957	May	-9999	-9999
1957	June	-9999	-9999
1957	July	-9999	-9999
1957	Aug	-9999	-9999
1957	Sep	-9999	-9999
1957	Oct	-9999	-9999
1957	Nov	-9999	-9999
1957	Dec	-9999	-9999
1958	Jan	-9999	-9999
1958	Feb	-9999	-9999
1958	March	-9999	-9999
1958	April	-9999	-9999
1958	May	-9999	-9999
1958	June	-9999	-9999
1958	July	-9999	-9999
1958	Aug	-9999	-9999
1958	Sep	-9999	-9999
1958	Oct	-9999	-9999
1958	Nov	-9999	-9999
1958	Dec	-9999	-9999
1959	Jan	-9999	-9999
1959	Feb	-9999	-9999
1959	March	-9999	-9999
1959	April	-9999	-9999
1959	May	-9999	-9999
1959	June	-9999	-9999
1959	July	-9999	-9999
1959	Aug	-9999	-9999
1959	Sep	-9999	-9999
1959	Oct	-9999	-9999
1959	Nov	-9999	-9999
1959	Dec	-9999	-9999
1960	Jan	-9999	-9999
1960	Feb	-9999	-9999
1960	March	-9999	-9999
1960	April	-9999	-9999
1960	May	-9999	-9999
1960	June	-9999	-9999
1960	July	-9999	-9999
1960	Aug	-9999	-9999
1960	Sep	-9999	-9999
1960	Oct	-9999	-9999
1960	Nov	-9999	-9999
1960	Dec	-9999	-9999
1961	Jan	-9999	-9999
1961	Feb	-9999	-9999
1961	March	-9999	-9999
1961	April	-9999	-9999
1961	May	-9999	-9999
1961	June	-9999	-9999
1961	July	-9999	-9999
1961	Aug	-9999	-9999
1961	Sep	-9999	-9999
1961	Oct	-9999	-9999
1961	Nov	-9999	-9999
1961	Dec	-9999	-9999
1962	Jan	-9999	-9999
1962	Feb	-9999	-9999
1962	March	-9999	-9999
1962	April	-9999	-9999
1962	May	-9999	-9999
1962	June	-9999	-9999
1962	July	-9999	-9999
1962	Aug	-9999	-9999
1962	Sep	-9999	-9999
1962	Oct	-9999	-9999
1962	Nov	-9999	-9999
1962	Dec	-9999	-9999
1963	Jan	-9999	-9999
1963	Feb	-9999	-9999
1963	March	-9999	-9999
1963	April	-9999	-9999
1963	May	-9999	-9999
1963	June	-9999	-9999
1963	July	-9999	-9999
1963	Aug	-9999	-9999
1963	Sep	-9999	-9999
1963	Oct	-9999	-9999
1963	Nov	-9999	-9999
1963	Dec	-9999	-9999
1964	Jan	-9999	-9999
1964	Feb	-9999	-9999
1964	March	-9999	-9999
1964	April	-9999	-9999
1964	May	-9999	-9999
1964	June	-9999	-9999
1964	July	-9999	-9999
1964	Aug	-9999	-9999
1964	Sep	-9999	-9999
1964	Oct	-9999	-9999
